POI_Name,Location_Type,Store_Lat,Store_Lng,Vicinity
Ole Brass Rail,POI,33.478722,-112.000982,"3738 East Thomas Road, Phoenix"
Old Brass Rail,POI,33.478722,-112.000982,"3738 East Thomas Road # A, Phoenix"
Naughty Nightlife Magazine,POI,33.478722,-112.000982,Phoenix
Kittys,POI,33.478722,-112.000982,"2836 North 36th Street #1, Phoenix"
Helio Basin Brewing Company,POI,33.478722,-112.000982,"3935 East Thomas Road, Phoenix"
Subway,POI,33.35103,-111.960968,"1380 West Elliot Road, Tempe"
Crackers and Co. Cafe,POI,33.35103,-111.960968,"1285 West Elliot Road, Tempe"
Subway,POI,33.35103,-111.960968,"1320 West Elliot Road #109, Tempe"
Fuddruckers,POI,33.35103,-111.960968,"7470 South Priest Drive, Tempe"
Kyoto Bowl,POI,33.35103,-111.960968,"1245 West Elliot Road #101, Tempe"
Oregano's Pizza Bistro,POI,33.35103,-111.960968,"1475 West Elliot Road, Tempe"
Red Robin Gourmet Burgers,POI,33.35103,-111.960968,"1375 West Elliot Road, Tempe"
Panda Express,POI,33.35103,-111.960968,"1320 W. Elliot Road, Tempe"
Burger King,POI,33.35103,-111.960968,"1220 West Elliot Road, Tempe"
Arby's,POI,33.35103,-111.960968,"1392 West Elliot Road, Tempe"
Taco Bell,POI,33.35103,-111.960968,"1415 West Elliot Road, Tempe"
Tortilla Fish,POI,33.35103,-111.960968,"1320 West Elliot Road #102, Tempe"
Tortilla Fish,POI,33.35103,-111.960968,"1320 West Elliot Road #102, Tempe"
Tzikii Pita Grill,POI,33.35103,-111.960968,"7510 South Priest Drive #104, Tempe"
McDonald's,POI,33.35103,-111.960968,"1525 West Elliot Road, Tempe"
Applebee's,POI,33.35103,-111.960968,"1655 West Elliot Road, Tempe"
Popeyes® Louisiana Kitchen,POI,33.35103,-111.960968,"1615 West Elliot Road, Tempe"
Costco Food Court,POI,33.35103,-111.960968,"1445 West Elliot Road, Tempe"
Firehouse Subs,POI,33.35103,-111.960968,"7700 South Priest Drive, Tempe"
Tempe Black Bear Diner,POI,33.35103,-111.960968,"7700 South Priest Drive, Tempe"
Crackers and Co. Cafe,POI,33.35103,-111.960968,"1285 West Elliot Road, Tempe"
Starbucks,POI,33.35103,-111.960968,"1620 West Elliot Road #106, Tempe"
NARA HOOKAH LOUNGE,POI,33.35103,-111.960968,"7510 South Priest Drive, Tempe"
Donut Parlor,POI,33.35103,-111.960968,"1245 West Elliot Road, Tempe"
Walmart Bakery,POI,33.35103,-111.960968,"1380 West Elliot Road, Tempe"
Costco Bakery,POI,33.35103,-111.960968,"1445 West Elliot Road, Tempe"
Donut Parlor,POI,33.35103,-111.960968,"1245 West Elliot Road, Tempe"
Costco Pharmacy,POI,33.35103,-111.960968,"1445 West Elliot Road, Tempe"
Walmart Pharmacy,POI,33.35103,-111.960968,"1380 West Elliot Road, Tempe"
"Mohammad Ali N. Samareh-Jahani, RPH",POI,33.35103,-111.960968,"1445 West Elliot Road, Tempe, AZ 85284"
Cardtronics ATM,POI,33.35103,-111.960968,"1445 West Elliot Road, Tempe"
Cardtronics ATM,POI,33.35103,-111.960968,"7700 South Priest Drive, Tempe"
ATM,POI,33.35103,-111.960968,"7530 South Priest Drive, Tempe"
Ultron,POI,33.35103,-111.960968,"7530 South Priest Drive, Tempe"
QuikTrip,POI,33.35103,-111.960968,"1190 West Elliot Road, Tempe"
Circle K,POI,33.35103,-111.960968,"7530 South Priest Drive, Tempe"
Costco Gasoline,POI,33.35103,-111.960968,"1445 West Elliot Road, Tempe"
Shell,POI,33.35103,-111.960968,"7530 South Priest Drive, Tempe"
Applebee's,POI,33.35103,-111.960968,"1655 West Elliot Road, Tempe"
NARA HOOKAH LOUNGE,POI,33.35103,-111.960968,"7510 South Priest Drive, Tempe"
Little Caesars Pizza,POI,33.376046,-112.029277,"2434 East Baseline Road #103, Phoenix"
Rubio's,POI,33.376046,-112.029277,"2320 East Baseline Road #150, Phoenix"
Subway,POI,33.376046,-112.029277,"2160 East Baseline Road #126, Phoenix"
McDonald's,POI,33.376046,-112.029277,"2430 E. Baseline RD., Phoenix"
Chipotle Mexican Grill,POI,33.376046,-112.029277,"2415 East Baseline Road, Phoenix"
